Vinho,País de origem,Tipo de uva,Doçura,Acidez,Taninos,Porcentagem de álcool,Cor,Corpo,Aroma,Harmonização
Château Margaux (Pavillon Rouge),França,"Cabernet Sauvignon, Merlot",Seco,Alta,Elevados,13.5,Rubi profundo,Encorpado,"Frutas vermelhas, Cassis, Cedro, Notas terrosas","Carnes vermelhas, Cordeiro, Queijos maturados"
Penfolds Grange,Austrália,Shiraz (Syrah),Seco,Média,Elevados,14.5,Rubi escuro,Encorpado,"Frutas negras, Especiarias, Chocolate, Alcaçuz","Carnes grelhadas, Cordeiro, Pratos com especiarias"
Antinori Tignanello,Itália,"Sangiovese, Cabernet Sauvignon",Seco,Alta,Moderados,13.5,Rubi intenso,Médio a encorpado,"Cerejas, Couro, Tabaco, Baunilha","Massas com molho de tomate, Carnes assadas, Queijos duros"
Bodegas Catena Zapata Malbec,Argentina,Malbec,Seco,Média,Moderados,14.0,Púrpura,Encorpado,"Ameixa, Amoras, Especiarias","Carnes grelhadas, Empanadas, Pratos com cogumelos"
Caymus Cabernet Sauvignon,EUA,Cabernet Sauvignon,Seco,Média,Elevados,14.5,Rubi escuro,Encorpado,"Frutas negras, Baunilha, Cassis","Carne de caça, Carnes grelhadas, Queijos azuis"
Vega Sicilia Único,Espanha,"Tempranillo, Cabernet Sauvignon",Seco,Alta,Elevados,14.0,Rubi escuro,Encorpado,"Frutas escuras, Tabaco, Especiarias","Carne assada, Pratos de caça, Queijos envelhecidos"
Harlan Estate,EUA,"Cabernet Sauvignon, Merlot",Seco,Média,Elevados,14.5,Rubi profundo,Encorpado,"Cassis, Ameixas, Especiarias, Carvalho tostado","Carnes vermelhas grelhadas, Queijos intensos"
Gaja Barbaresco,Itália,Nebbiolo,Seco,Alta,Elevados,14.0,Rubi claro,Médio,"Frutas vermelhas, Rosas, Alcaçuz, Tabaco","Massas com molho de carne, Trufas, Pratos de cogumelos"
Louis Roederer Cristal,França,"Chardonnay, Pinot Noir",Brut (Seco),Alta,Baixos (espumante),12.0,Dourado,Médio,"Maçã verde, Cítricos, Mel, Brioche","Frutos do mar, Sushi, Pratos leves de peixe"
Quinta do Crasto Touriga Nacional,Portugal,Touriga Nacional,Seco,Média,Moderados,13.5,Rubi intenso,Encorpado,"Violetas, Frutas escuras, Especiarias","Carnes de caça, Assados, Queijos curados"
Dom Pérignon Vintage,França,"Chardonnay, Pinot Noir",Brut (Seco),Alta,Baixos (espumante),12.5,Dourado pálido,Médio,"Cítricos, Pêra, Tostado, Amêndoas","Caviar, Ostras, Frutos do mar"
Opus One,EUA,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot, Malbec",Seco,Média,Elevados,14.5,Rubi profundo,Encorpado,"Frutas escuras, Baunilha, Cedro, Carvalho tostado","Carnes vermelhas grelhadas, Queijos intensos, Carne de caça"
Château d'Yquem,França,"Sémillon, Sauvignon Blanc",Doce,Alta,Baixos,14.0,Dourado,Encorpado,"Mel, Frutas secas, Damasco, Flores","Foie gras, Queijos azuis, Sobremesas com frutas"
Sassicaia,Itália,"Cabernet Sauvignon, Cabernet Franc",Seco,Alta,Moderados,13.5,Rubi escuro,Médio a encorpado,"Frutas vermelhas, Tabaco, Especiarias, Cedro","Carnes assadas, Massas com molhos fortes, Queijos maturados"
Clos de Vougeot,França,Pinot Noir,Seco,Alta,Moderados,13.0,Rubi claro,Médio,"Frutas vermelhas, Terrosas, Especiarias, Flores","Carnes brancas, Aves, Cogumelos"
Marqués de Riscal Reserva,Espanha,"Tempranillo, Graciano, Mazuelo",Seco,Média,Moderados,14.0,Rubi escuro,Médio a encorpado,"Frutas vermelhas, Carvalho, Baunilha, Especiarias","Carnes grelhadas, Cordeiro, Pratos de caça"
Almaviva,Chile,"Cabernet Sauvignon, Carmenère, Cabernet Franc",Seco,Média,Elevados,14.5,Rubi profundo,Encorpado,"Frutas negras, Tabaco, Especiarias, Carvalho","Carne de caça, Pratos com especiarias, Queijos fortes"
Château Pétrus,França,Merlot,Seco,Média a alta,Elevados,14.5,Rubi escuro,Encorpado,"Frutas negras, Tabaco, Trufa, Especiarias","Carnes vermelhas, Queijos maturados, Pratos de cogumelos"
Brunello di Montalcino (Biondi-Santi),Itália,Sangiovese,Seco,Alta,Elevados,14.0,Rubi escuro,Encorpado,"Frutas vermelhas, Cereja, Especiarias, Couro","Carnes assadas, Massas com molho de carne, Queijos duros"
La Rioja Alta Gran Reserva 904,Espanha,"Tempranillo, Graciano",Seco,Média,Moderados,13.5,Rubi claro,Médio,"Frutas vermelhas, Especiarias, Baunilha, Carvalho","Carnes grelhadas, Queijos envelhecidos, Cordeiro"
Château Lafite Rothschild,França,"Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot",Seco,Alta,Elevados,13.5,Rubi escuro,Encorpado,"Frutas negras, Tabaco, Cedro, Especiarias","Carnes vermelhas, Pratos de caça, Queijos maturados"
Concha y Toro Don Melchor,Chile,Cabernet Sauvignon,Seco,Média,Moderados a elevados,14.0,Rubi profundo,Encorpado,"Frutas escuras, Baunilha, Chocolate amargo, Carvalho","Carnes vermelhas grelhadas, Cordeiro, Queijos duros"
Tenuta San Guido Guidalberto,Itália,"Cabernet Sauvignon, Merlot",Seco,Média a alta,Moderados,13.5,Rubi claro,Médio a encorpado,"Frutas vermelhas, Ervas secas, Tabaco, Especiarias","Massas com molho de carne, Pratos de carne assada, Queijos maturados"
Taylor's Vintage Port,Portugal,"Touriga Nacional, Tinta Roriz, Tinta Barroca",Doce,Média a alta,Elevados,20.0,Púrpura profundo,Encorpado,"Frutas negras, Chocolate, Especiarias, Amêndoas","Sobremesas de chocolate, Queijos azuis, Nozes"
Baron de Ley Reserva,Espanha,Tempranillo,Seco,Média,Moderados,13.5,Rubi escuro,Médio,"Frutas vermelhas, Carvalho, Baunilha, Especiarias","Carnes grelhadas, Cordeiro, Pratos de caça"
Quinta da Aveleda Vinho Verde,Portugal,"Loureiro, Alvarinho",Seco,Alta,Baixos,11.5,Amarelo claro,Leve,"Frutas cítricas, Maçã verde, Flores","Frutos do mar, Saladas, Peixes leves"
Vietti Barolo Castiglione,Itália,Nebbiolo,Seco,Alta,Elevados,14.0,Rubi claro,Encorpado,"Cereja, Rosas, Alcaçuz, Tabaco","Pratos com trufas, Massas com molhos fortes, Carnes assadas"
Paul Jaboulet Aîné Hermitage La Chapelle,França,Syrah,Seco,Alta,Elevados,14.5,Rubi profundo,Encorpado,"Frutas negras, Pimenta, Especiarias, Carvalho","Carnes de caça, Cordeiro, Queijos fortes"
Quinta do Vale Meão,Portugal,"Touriga Nacional, Tinta Roriz, Touriga Franca, Tinto Cão",Seco,Alta,Elevados,14.5,Rubi escuro,Encorpado,"Frutas escuras, Flores, Especiarias","Carnes vermelhas, Pratos de caça, Queijos curados"
Château Palmer,França,"Cabernet Sauvignon, Merlot, Petit Verdot",Seco,Alta,Moderados a elevados,13.5,Rubi escuro,Encorpado,"Cassis, Frutas negras, Especiarias, Tabaco","Carnes vermelhas, Cordeiro, Queijos envelhecidos"
